Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,7/16/2019,32,5.9,English,Tuesday
Horse Girl,Drama,2/7/2020,104,5.9,English,Friday
Notes from Dunblane: Lesson from a School Shooting,Documentary,9/28/2018,23,5.9,English,Friday
Maska,Romantic comedy,3/27/2020,111,5.9,Hindi,Friday
The Decline,Thriller,3/27/2020,83,5.9,French,Friday
The Minimalists: Less Is Now,Documentary,1/1/2021,53,5.9,English,Friday
The Polka King,Comedy-drama,1/12/2018,95,5.9,English,Friday
The Prom,Musical,12/11/2020,132,5.9,English,Friday
True Memoirs of an International Assassin,Action comedy,11/11/2016,98,5.9,English,Friday
Ultras,Sports film,3/20/2020,108,5.9,Italian,Friday
Come Sunday,Biopic,4/13/2018,106,6.0,English,Friday
Forgive Us Our Debts,Drama,5/4/2018,104,6.0,Italian,Friday
iBoy,Science fiction/Thriller,1/27/2017,90,6.0,English,Friday
Lovefucked,Drama,8/9/2019,106,6.0,Hindi,Friday
Juanita,Drama,3/8/2019,90,6.0,English,Friday
Murder Mystery,Comedy mystery,6/14/2019,97,6.0,English,Friday
Project Power,Superhero,8/14/2020,113,6.0,English,Friday
Rebecca,Romantic thriller,10/21/2020,123,6.0,English,Wednesday
The Christmas Chronicles: Part Two,Christmas comedy,11/25/2020,115,6.0,English,Wednesday
The Kissing Booth,Romantic comedy,5/11/2018,105,6.0,English,Friday
The Princess Switch,Romantic comedy,11/16/2018,101,6.0,English,Friday
To All the Boys: P.S. I Still Love You,Romantic comedy,2/12/2020,102,6.0,English,Wednesday
War Machine,War-Comedy,5/26/2017,122,6.0,English,Friday
6 Underground,Action,12/13/2019,128,6.1,English,Friday
Between Two Ferns: The Movie,Comedy,9/20/2019,82,6.1,English,Friday
Burning Sands,Drama,3/10/2017,102,6.1,English,Friday
Casting JonBenet,Documentary,4/28/2017,80,6.1,English,Friday
Deidra & Laney Rob a Train,Drama,3/17/2017,94,6.1,English,Friday
Finding 'Ohana,Family,1/29/2021,123,6.1,English,Friday
Holidate,Romantic comedy/Holiday,10/28/2020,104,6.1,English,Wednesday
Holiday in the Wild,Adventure-romance,11/1/2019,85,6.1,English,Friday
Hot Girls Wanted,Documentary,5/29/2015,84,6.1,English,Friday
Like Father,Comedy,8/3/2018,103,6.1,English,Friday
Lost Girls,Crime drama,3/13/2020,95,6.1,English,Friday
